epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.2427,2.34341,4.23223,2.13795,0.00563,0.69524,0.03853,0.02022,1.43769,4.17642,1.60953,9.999e-05,9.999e-05,9.999e-05
2,145.23,1.94586,3.99952,1.90181,0.00904,0.73095,0.13634,0.0682,1.45586,4.25294,1.63657,0.00020493,0.00020493,0.00020493
3,210.147,1.86038,3.64073,1.74321,0.00697,0.70238,0.16857,0.07095,1.50246,4.19798,1.66867,0.000305551,0.000305551,0.000305551
4,276.33,1.89894,3.06114,1.74282,0.00689,0.75952,0.13227,0.066,1.60278,3.98302,1.7307,0.000401853,0.000401853,0.000401853
5,341.173,1.76284,2.99327,1.65197,0.77838,0.07143,0.13907,0.06086,1.73892,3.89376,1.88002,0.000493834,0.000493834,0.000493834
6,405.524,1.6939,2.93962,1.70977,0.53512,0.10218,0.20122,0.11393,1.73673,3.51061,1.94863,0.000581496,0.000581496,0.000581496
7,472.473,1.71724,2.92613,1.76895,0.61639,0.15476,0.18483,0.08648,1.75008,3.63419,1.94862,0.000664839,0.000664839,0.000664839
8,537.16,1.84615,2.94028,1.76695,0.40833,0.22642,0.22031,0.10873,1.66871,3.47609,1.84681,0.000743862,0.000743862,0.000743862
9,601.695,1.65663,2.65456,1.72817,0.62979,0.20714,0.28756,0.13957,1.68517,3.56554,1.93917,0.000765014,0.000765014,0.000765014
10,665.918,1.72757,2.82158,1.73614,0.551,0.15714,0.24935,0.1196,1.76149,3.39686,1.9645,0.000747016,0.000747016,0.000747016
11,735.438,1.70954,2.74608,1.75458,0.52589,0.23009,0.28587,0.14469,1.64083,3.28826,1.87305,0.000729018,0.000729018,0.000729018
12,807.186,1.65757,2.40162,1.66908,0.94437,0.1235,0.24423,0.10152,1.66463,3.40517,1.97466,0.00071102,0.00071102,0.00071102
13,877.653,1.67759,2.48421,1.71992,0.78004,0.16429,0.26752,0.13321,1.70555,3.27083,1.9305,0.000693022,0.000693022,0.000693022
14,945.034,1.47315,2.24455,1.5284,0.62144,0.21284,0.27305,0.15646,1.67222,3.26503,1.92541,0.000675023,0.000675023,0.000675023
15,1010.09,1.63725,2.53184,1.69065,0.28126,0.2423,0.25168,0.13237,1.7989,3.2966,1.91444,0.000657025,0.000657025,0.000657025
16,1075.77,1.45493,2.28118,1.56272,0.84838,0.23333,0.30399,0.1474,1.73274,3.1391,1.91332,0.000639027,0.000639027,0.000639027
17,1144.58,1.47108,2.2334,1.53163,0.32823,0.25618,0.24015,0.11669,1.69264,3.23698,1.79862,0.000621029,0.000621029,0.000621029
18,1209.72,1.49894,2.19069,1.55154,0.46508,0.18571,0.27678,0.11659,1.80696,3.22353,1.96393,0.000603031,0.000603031,0.000603031
19,1274.17,1.53359,2.03519,1.63004,0.91561,0.13458,0.30882,0.1566,1.7572,2.92974,1.88435,0.000585032,0.000585032,0.000585032
20,1339.05,1.41862,2.06773,1.51271,0.30876,0.33737,0.29919,0.12953,1.67379,3.19039,1.86471,0.000567034,0.000567034,0.000567034
21,1403.47,1.47256,2.079,1.53421,0.28701,0.35066,0.3006,0.16734,1.70314,3.01994,1.81331,0.000549036,0.000549036,0.000549036
22,1468.41,1.39159,1.8953,1.43464,0.33525,0.36948,0.35104,0.20552,1.60803,2.80841,1.67582,0.000531038,0.000531038,0.000531038
23,1532.94,1.47101,1.87279,1.44736,0.66724,0.21429,0.32155,0.17453,1.63023,2.78289,1.74402,0.00051304,0.00051304,0.00051304
24,1597.42,1.40602,1.85928,1.44967,0.72275,0.20874,0.3102,0.18367,1.45537,2.96006,1.66141,0.000495041,0.000495041,0.000495041
25,1662.06,1.37049,1.89111,1.4632,0.61633,0.29528,0.37716,0.2591,1.53257,2.90166,1.72743,0.000477043,0.000477043,0.000477043
26,1727.79,1.40889,1.822,1.46038,0.38131,0.27143,0.37152,0.20859,1.537,2.90848,1.74161,0.000459045,0.000459045,0.000459045
27,1792.2,1.35784,2.02361,1.51101,0.47013,0.29525,0.35071,0.19134,1.57286,3.00531,1.77799,0.000441047,0.000441047,0.000441047
28,1857.42,1.33956,1.66953,1.42796,0.40957,0.25,0.34031,0.21605,1.55554,2.86387,1.69977,0.000423049,0.000423049,0.000423049
29,1922.27,1.3505,1.64341,1.45324,0.6376,0.22143,0.34052,0.22218,1.62616,2.94414,1.72687,0.00040505,0.00040505,0.00040505
30,1986.69,1.35693,1.74655,1.49414,0.50703,0.34689,0.34195,0.19663,1.70464,3.04687,1.78303,0.000387052,0.000387052,0.000387052
31,2051.7,1.38731,1.95573,1.52218,0.37907,0.2517,0.32601,0.18451,1.72869,3.12678,1.80396,0.000369054,0.000369054,0.000369054
32,2117.24,1.31627,1.70936,1.47613,0.58396,0.2897,0.34773,0.17556,1.72987,3.21033,1.88647,0.000351056,0.000351056,0.000351056
33,2182.1,1.25514,1.58211,1.3459,0.81077,0.23345,0.33959,0.17738,1.65992,3.15461,1.87875,0.000333058,0.000333058,0.000333058
34,2246.82,1.27527,1.43022,1.37019,0.77772,0.24286,0.35249,0.19785,1.56873,3.06153,1.77303,0.000315059,0.000315059,0.000315059
